date,strike,option_type,expiry,close,implied_volatility,underlying_close,open_interest,volume
2025-11-18,23400.0,CE,2025-11-18,2505.0,,25910.05,975,5
2025-11-18,23400.0,PE,2025-11-18,0.05,,25910.05,2140875,159160
2025-11-18,23450.0,CE,2025-11-18,2562.35,,25910.05,300,0
2025-11-18,23450.0,PE,2025-11-18,0.05,,25910.05,261225,22777
2025-11-18,23500.0,CE,2025-11-18,2416.85,,25910.05,14850,240
2025-11-18,23500.0,PE,2025-11-18,0.05,,25910.05,945825,59601
2025-11-18,23550.0,CE,2025-11-18,2264.0,,25910.05,150,0
2025-11-18,23550.0,PE,2025-11-18,0.1,,25910.05,76725,10248
2025-11-18,23600.0,CE,2025-11-18,2379.95,,25910.05,450,0
2025-11-18,23600.0,PE,2025-11-18,0.05,,25910.05,118725,20833
2025-11-18,23650.0,CE,2025-11-18,2329.45,,25910.05,300,0
2025-11-18,23650.0,PE,2025-11-18,0.1,,25910.05,24825,2693
2025-11-18,23700.0,CE,2025-11-18,2260.75,,25910.05,375,14
2025-11-18,23700.0,PE,2025-11-18,0.1,,25910.05,159150,15269
2025-11-18,23750.0,CE,2025-11-18,2198.0,,25910.05,75,3
2025-11-18,23750.0,PE,2025-11-18,0.1,,25910.05,82575,5544
2025-11-18,23800.0,CE,2025-11-18,2215.0,,25910.05,375,0
2025-11-18,23800.0,PE,2025-11-18,0.05,,25910.05,132825,13961
2025-11-18,23850.0,CE,2025-11-18,2127.0,,25910.05,450,0
2025-11-18,23850.0,PE,2025-11-18,0.1,,25910.05,80550,6810
2025-11-18,23900.0,CE,2025-11-18,2009.0,,25910.05,1575,2
2025-11-18,23900.0,PE,2025-11-18,0.1,,25910.05,70350,15908
2025-11-18,23950.0,CE,2025-11-18,2062.05,,25910.05,300,2
2025-11-18,23950.0,PE,2025-11-18,0.1,,25910.05,72750,13347
2025-11-18,24000.0,CE,2025-11-18,1920.5,,25910.05,17700,286
2025-11-18,24000.0,PE,2025-11-18,0.05,,25910.05,1376475,211520
2025-11-18,24050.0,CE,2025-11-18,1971.0,,25910.05,75,0
2025-11-18,24050.0,PE,2025-11-18,0.1,,25910.05,78750,12495
2025-11-18,24100.0,CE,2025-11-18,1880.0,,25910.05,825,11
2025-11-18,24100.0,PE,2025-11-18,0.1,,25910.05,158250,25949
2025-11-18,24150.0,CE,2025-11-18,1869.05,,25910.05,300,0
2025-11-18,24150.0,PE,2025-11-18,0.1,,25910.05,78075,15177
2025-11-18,24200.0,CE,2025-11-18,1765.0,,25910.05,675,3
2025-11-18,24200.0,PE,2025-11-18,0.1,,25910.05,833700,51853
2025-11-18,24250.0,CE,2025-11-18,1680.5,,25910.05,975,10
2025-11-18,24250.0,PE,2025-11-18,0.05,,25910.05,258900,28575
2025-11-18,24300.0,CE,2025-11-18,1677.0,,25910.05,1125,16
2025-11-18,24300.0,PE,2025-11-18,0.1,,25910.05,846150,56938
2025-11-18,24350.0,CE,2025-11-18,1630.0,,25910.05,600,10
2025-11-18,24350.0,PE,2025-11-18,0.05,,25910.05,429300,48317
2025-11-18,24400.0,CE,2025-11-18,1600.95,,25910.05,1950,24
2025-11-18,24400.0,PE,2025-11-18,0.1,,25910.05,1242075,80238
2025-11-18,24450.0,CE,2025-11-18,1467.15,,25910.05,225,11
2025-11-18,24450.0,PE,2025-11-18,0.1,,25910.05,211725,44912
2025-11-18,24500.0,CE,2025-11-18,1421.7,,25910.05,45375,352
2025-11-18,24500.0,PE,2025-11-18,0.05,,25910.05,2449200,328875
2025-11-18,24550.0,CE,2025-11-18,1376.05,,25910.05,525,12
2025-11-18,24550.0,PE,2025-11-18,0.1,,25910.05,150000,47903
2025-11-18,24600.0,CE,2025-11-18,1325.4,,25910.05,26250,103
2025-11-18,24600.0,PE,2025-11-18,0.1,,25910.05,700050,120528
2025-11-18,24650.0,CE,2025-11-18,1345.0,,25910.05,375,0
2025-11-18,24650.0,PE,2025-11-18,0.1,,25910.05,248775,52459
2025-11-18,24700.0,CE,2025-11-18,1220.6,,25910.05,18900,124
